Pāli1	Fin	ex	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	class	count	audio
agha 2	pp		nt							trouble; misfortune; pain	беда; несчастье; страдание					agha (sin)			(SNa) aghan'ti pañcakkhandhadukkhaṃ. dutiyapadaṃ tass'eva vevacanaṃ.<br/>(SNa) aghan'ti evarūpassa hi vaṭṭadukkhaṃ āgatam'eva hoti.		SN 1.34	nasantisuttaṃ	chandajaṃ <b>aghaṃ</b> chandajaṃ dukkhaṃ, chandavinayā aghavinayo, aghavinayā dukkhavinayo'ti.				NIDD1 2	guhaṭṭhakasuttaniddeso	vipariṇāmadhammato asārakato <b>agha</b>-mūlato vadhakato vibhavato sāsavato saṅkhatato mār'āmisato											agh	a nt	5			
aghāyita	p		adj	pp	na + ghāyati	neg				not smelled	не вдыхавший; не чувствовавший запах		√ghā 3 ya (to smell)		na + √ghā + [y] + ita	aghrāta	√ghrā				SN 35.95	mālukyaputtasuttaṃ	ye te ghānaviññeyyā gandhā <b>aghāyitā</b> aghāyitapubbā, na ca ghāyasi, na ca te hoti ghāyeyyan’ti? atthi te tattha chando vā rāgo vā pemaṃ vā”ti?																	aghāyit	a adj	5			
aghāyitapubba	p		adj	comp		neg				never smelled before	никогда не обонял; не чувствовал раньше				aghāyita + pubba	aghrāta + pūrva					SN 35.95	mālukyaputtasuttaṃ	ye te ghānaviññeyyā gandhā aghāyitā <b>aghāyitapubbā</b>, na ca ghāyasi, na ca te hoti ghāyeyyan’ti? atthi te tattha chando vā rāgo vā pemaṃ vā”ti?																	aghāyitapubb	a adj	5			
aṅkusaggaha	p		masc	agent, comp						mahout; elephant driver; lit. holding a hooked pole	погонщик слонов; досл. держащий крюк				aṅkusa + gaha	aṅkuśagraha					DHP 326	nāgavaggo	idaṃ pure cittam’acāri cārikaṃ, yen’icchakaṃ yatthakāmaṃ yathāsukhaṃ, tad’ajj’ahaṃ niggahessāmi yoniso, hatthi-ppabhinnaṃ viya <b>aṅkusaggaho</b>.																	aṅkusaggah	a masc	5			
aṅkusa 1	p		masc		añcati					hooked pole; hook for controlling and driving an elephant; a goad	крюк; крюк для управления слоном; стрекало		√añc 1 a (to bend)		√añc > aṅk + usa	aṅkuśa	√añc √ac				DHP 326	nāgavaggo	idaṃ pure cittam’acāri cārikaṃ, yen’icchakaṃ yatthakāmaṃ yathāsukhaṃ, tad’ajj’ahaṃ niggahessāmi yoniso, hatthi-ppabhinnaṃ viya <b>aṅkusa</b>-ggaho.																	aṅkus	a masc	5			
aṅgaṇa 1	p		nt		añjeti					spot; blemish; stain	грязь; пятно		√añj 1 a (to smear, anoint)		√añj > aṅg + aṇa	añjana	√añj		(ANa) aṅgaṇan'ti tatthajātak'āṅgakāḷatilak'ādiṃ		AN 10.51	sacittasuttaṃ	sace tattha passati rajaṃ vā <b>aṅgaṇaṃ</b> vā, tass'eva rajassa vā aṅgaṇassa vā pahānāya vāyamati.																	aṅgaṇ	a nt	5			
aṅgaṇa 2	p		nt							courtyard	двор		√aṅg 1 a (to walk)		√aṅg + aṇa	aṅgaṇa	√aṅg				ANa 3.68	kathāvatthusuttaṃvaṇṇanā	ayaṃ pañho nāma cetiy'<b>aṅgaṇe</b> pucchitena na kathetabbo, tathā bhikkhācāramagge gāmaṃ piṇḍāya caraṇakāle.																	aṅgaṇ	a nt	5			
aṅganteva	p		sandhi	nt + ind						even a limb; just limb; (as his) very limb	даже конечность; просто конечность; именно (как его) конечность				aṅgaṃ + [t] + eva	aṅga + eva					AN 8.13	assājānīyasuttaṃ	aṭṭhahi, bhikkhave, aṅgehi samannāgato rañño bhaddo ass'ājānīyo rāj'āraho hoti rājabhoggo, rañño <b>aṅgan't'eva</b> saṅkhaṃ gacchati.																	!	aṅga eva	5			
aṅgapaccaṅga	pp		nt	comp						part of the body; some or other limb; major and minor limbs	часть тела; та или иная конечность; основные и второстепенные конечности				aṅga + paccaṅga	aṅga + pratyaṅga				aṅga are the major limbs, trunk, head, arms and legs. paccaṅga are minor limbs such as forehead, nose, chin, fingers, ears etc.	SN 22.100	dutiyagaddulabaddhasuttaṃ	suparimaṭṭhe phalake vā bhittiyā vā dussapaṭṭe vā itthirūpaṃ vā purisarūpaṃ vā abhinimmineyya sabb’<b>aṅgapaccaṅgiṃ</b>;				MN 54.2	potaliyasuttaṃ	taṃ kiṃ maññasi, sace so puriso taṃ ādittaṃ tiṇ’ukkaṃ na khippam’eva paṭinissajjeyya tassa sā ādittā tiṇ'ukkā hatthaṃ vā daheyya bāhuṃ vā daheyya aññataraṃ vā aññataraṃ vā <b>aṅgapaccaṅgaṃ</b> daheyya											aṅgapaccaṅg	a nt	5			
aṅgamaṅga	p		nt	comp						limb by limb; all the limbs; lit. limb and limb	конечность за конечностью; все конечности; досл. конечность и конечность				aṅgaṃ + aṅga	aṅga + aṅga					MN 62	mahārāhulovādasuttaṃ	yaṃ ajjhattaṃ paccattaṃ vāyo vāyogataṃ upādinnaṃ, seyyath'idaṃ, uddhaṅ'gamā vātā, adhogamā vātā, kucchisayā vātā, koṭṭh'āsayā vātā, <b>aṅgam'aṅga</b>-anusārino vātā, assāso passāso																	aṅgamaṅg	a nt	5			
aṅgamaṅgānusārī	p		adj	comp						coursing through all the limbs	текущий через все конечности				aṅgamaṅga + anusārī	aṅga + aṅga + anusārin					MN 62	mahārāhulovādasuttaṃ	yaṃ ajjhattaṃ paccattaṃ vāyo vāyogataṃ upādinnaṃ, seyyath'idaṃ, uddhaṅ'gamā vātā, adhogamā vātā, kucchisayā vātā, koṭṭh'āsayā vātā, <b>aṅgam'aṅg'ānusārino</b> vātā, assāso passāso																	aṅgamaṅgānusār	ī adj	5			
aṅgasambhāra	p		masc	comp						accumulation of parts; collection of components	совокупность частей; собрание компонентов				aṅga + sambhāra	aṅga + sambhāra					SN 5.10	vajirāsuttaṃ	yathā hi <b>aṅgasambhārā</b>,<br/>hoti saddo ratho iti,<br/>evaṃ khandhesu santesu,<br/>hoti satto'ti sammuti.																	aṅgasambhār	a masc	5			
aṅga 1	pp		nt							a constituent part of the body; a limb; member	часть тела; конечность; член		√añc 1 a (to bent)		√añc + a	anga, anc	√añc √ac				MN 21	kakacūpamasuttaṃ	“ubhato-daṇḍakena ce’pi kakacena corā ocarakā <b>aṅgam</b>’aṅgāni okanteyyuṃ, tatrā’pi yo mano padūseyya, na me so tena sāsana-karo.				VIN PAT SA 2	kāyasaṃsagga sikkhāpada	yo pana bhikkhu, otiṇṇo vipariṇatena cittena, mātugāmena saddhiṃ kāya-saṃsaggaṃ samāpajjeyya, hatthaggāhaṃ vā veṇiggāhaṃ vā aññatarassa vā aññatarassa vā <b>aṅgassa</b> parāmasanaṃ, saṅghādiseso.											aṅg	a nt	5	9	336	
aṅga 2	ps		nt							factor; component; element; quality; aspect	компонент; элемент; аспект		√añj 8 *e (to distinguish)		√añj + a	aṅga	√añc				SN 5.10	vajirāsuttaṃ	yathā hi <b>aṅga</b>-sambhārā, hoti saddo ratho iti. <br/>evaṃ khandhesu santesu, hoti satto’ti sammuti				Thai		handa mayaṃ satta-sambojjh’<b>aṅga</b>-pāṭhaṃ bhaṇāmase	Bodhipakkhiya-dhammā	Requisites for Awakening	Teachings							19n	aṅg	a nt	5	9	336	
aṅga 3	p		nt							vow; practice; means	обет; практика; способ		√añj 8 *e (to distinguish)		√añj + a	aṅga	√añc				VIN 6.1.1.4.2	kosiyavaggo	sambahulā bhikkhū santhatāni ujjhitvā āraññik’<b>aṅgaṃ</b> piṇḍapātik’<b>aṅgaṃ</b> paṃsukūlik’<b>aṅgaṃ</b> samādiyiṃsu																	aṅg	a nt	5	9	336	
aṅgā	p		masc	pl	aṅga					Bengalis; people of Bengal	Бенгальцы; люди Бенгалии		√añj 8 *e (to distinguish)		√añj + a + ā<br/>aṅga + ā	aṅga	√añj				SN 48.50	āpaṇasuttaṃ	evaṃ me sutaṃ, ekaṃ samayaṃ bhagavā <b>aṅgesu</b> viharati āpaṇaṃ nāma <b>aṅgānaṃ</b> nigamo.																	aṅg	a masc pl	5	2	202	
aṅgāra	p		masc							burning embers; charcoal	тлеющие угли					aṅgāra					SN 12.63	puttamaṃsūpamasuttaṃ	tam’enaṃ dve balavanto purisā nānābāhāsu gahetvā taṃ <b>aṅgāra</b>-kāsuṃ upakaḍḍheyyuṃ. atha kho tassa purisassa ārakā'v'assa cetanā ārakā patthanā ārakā paṇidhi.																	aṅgār	a masc	5			
aṅgārakāsu	pp		fem	comp						pit of burning coals	яма с тлеющими углями				aṅgāra + kāsu	aṅgāra + karṣū					SN 12.63	puttamaṃsūpamasuttaṃ	tam’enaṃ dve balavanto purisā nānābāhāsu gahetvā taṃ <b>aṅgārakāsuṃ</b> upakaḍḍheyyuṃ. atha kho tassa purisassa ārakā'v'assa cetanā ārakā patthanā ārakā paṇidhi.				NIDD1 1	kāmasuttaniddeso	“<b>aṅgārakās</b>'ūpamā kāmā mahāpariḷāh'aṭṭhenā”ti passanto vikkhambhanato kāme parivajjeti											aṅgārakās	u fem	5			
aṅgārakāsūpama	p		adj	comp						like a pit of burning coals; similar to a charcoal pit	как яма с горящими углями; похожий на угольную яму				aṅgārakāsu + upama	aṅgāra + karṣū + upama			(MNa) aṅgārakās'ūpamā mah'ābhitāpan'aṭṭhena.<br/>(ANa) aṅgārakās'ūpamā'ti santāpan'aṭṭhena aṅgārakāsuyā upamitā ime kāmā'ti.		MN 22	alagaddūpamasuttaṃ	aṭṭhikaṅkal'ūpamā ... maṃsapes'ūpamā ... tiṇ'ukk'ūpamā ... <b>aṅgārakās'ūpamā</b> ... supinak'ūpamā ... yācitak'ūpamā ... rukkhaphal'ūpamā ... asisūn'ūpamā ... sattisūl'ūpamā ... sappasir'ūpamā kāmā vuttā bhagavatā bahudukkhā bahupāyāsā, ādīnavo ettha bhiyyo'ti.																	aṅgārakāsūpam	a adj	5			
aṅgika	ps		adj	in comps	aṅga					consisting of x parts; composed of x factors	состоящий из (стольки-то) частей; содержащий из (стольки-то) элементов		√añj 8 *e (to distinguish)		√añj > aṅg + ika	aṅgaka	√añc				MN 43	mahāvedallasuttaṃ	paṭhamaṃ pan'āvuso, jhānaṃ kati-<b>aṅgikan</b>'ti? paṭhamaṃ kho, āvuso, jhānaṃ pañc'<b>aṅgikaṃ</b>.				DN 22.18	mahāsatipaṭṭhānasuttaṃ	ayam’eva ariyo aṭṭh’<b>aṅgiko</b> maggo seyyath’īdaṃ sammādiṭṭhi sammāsaṅkappo sammāvācā sammākammanto sammāājīvo sammāvāyāmo sammāsati sammāsamādhi.	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings							21n	aṅgik	a adj	5			
aṅguṭṭha	p		masc		aṅga					big toe; thumb	большой палец ноги; большой палец руки		√añc 1 a (to bend)		√añc > aṅg + u + ṭṭha<br/>aṅgu + ṭṭha	aṅguṣṭha	√añc √ac				MN 105	sunakkhattasuttaṃ	taṃ kiṃ maññasi, sunakkhatta, api nu so puriso amussa āsīvisassa ghoravisassa hatthaṃ vā <b>aṅguṭṭhaṃ</b> vā dajjā yaṃ jaññā																	aṅguṭṭh	a masc	5			
aṅguṭṭhapada	p		nt	comp						thumb-print; impression of the thumb	отпечаток большого пальца; след от большого пальца				aṅguṭṭha + pada	aṅguṣṭha + pada					SN 22.101	vāsijaṭasuttaṃ	seyyathā'pi, bhikkhave, palagaṇḍassa vā palagaṇḍ'antevāsissa vā vāsijaṭe dissant'eva aṅgulipadāni dissati <b>aṅguṭṭhapadaṃ</b>.																	aṅguṭṭhapad	a nt	5			
aṅgula 1	p		masc	in comps	aṅga					inch; finger breadth	дюйм; ширина пальца		√añc 1 a (to bend)		√añc + > aṅg + a + ula<br/>aṅga + ula	aṅgula	√añc √ac				VIN PAT PC 87	mañcapīṭha sikkhāpada	navaṃ pana bhikkhunā mañcaṃ vā pīṭhaṃ vā kārayamānena aṭṭh’aṅgulapādakaṃ kāretabbaṃ sugat’<b>aṅgulena</b>, aññatra heṭṭhimāya aṭaniyā.																	aṅgul	a masc	5			
aṅgulipatodaka	p		nt	comp						tickling; lit. poking with fingers	щекотание; досл. тычки пальцами				aṅguli + patodaka	aṅgulī + pratodana (bsk)			(VIN 2.1.52) aṅgulipatodako nāma aṅguliyā'pi tudanti, upasampanno upasampannaṃ has'ādhippāyo kāyena kāyaṃ āmasati, āpatti pācittiyassa.<br/>(VINa) aṅgulipatodakenā'ti aṅgulīhi upakacchak'ādighaṭṭanaṃ vuccati.		VIN PAT PC 52	aṅgulipatodaka sikkhāpada	<b>aṅgulipatodake</b>, pācittiyaṃ. 																	aṅgulipatodak	a nt	5			
aṅgulipada	p		nt	comp						fingerprint; impression of the finger	отпечаток пальца; след от пальца				aṅguli + pada	aṅgulī + pada					SN 22.101	vāsijaṭasuttaṃ	seyyathā'pi, bhikkhave, palagaṇḍassa vā palagaṇḍ'antevāsissa vā vāsijaṭe dissant'eva <b>aṅgulipadāni</b> dissati aṅguṭṭhapadaṃ.																	aṅgulipad	a nt	5			
aṅgulipabba	p		nt	comp						joint of the finger; finger knuckle	сустав пальца; фаланга пальца				aṅguli + pabba	aṅgulīparvan					MN 28	mahāhatthipadopamasuttaṃ	hoti kho so, āvuso, samayo, yaṃ mahāsamudde <b>aṅgulipabba</b>-temanamattam'pi udakaṃ na hoti.																	aṅgulipabb	a nt	5			
aṅgulipabbatemanamatta	p		adj	comp						enough to wet the finger knuckle; lit. finger knuckle wetting measure	достаточный чтобы намочить фалангу пальца				aṅguli + pabba + temana + matta	aṅgulīparvan + temana + mātra					MN 28	mahāhatthipadopamasuttaṃ	hoti kho so, āvuso, samayo, yaṃ mahāsamudde <b>aṅgulipabbatemanamattam</b>'pi udakaṃ na hoti.																	aṅgulipabbatemanamatt	a adj	5			
aṅgulimāla	p	4	masc	comp						personal name of an arahant monk; lit. garland of fingers	имя монаха архата; досл. гирлянда из пальцев				aṅguli + māla	aṅgulī + māla																	MN 86	aṅgulimālasuttaṃ	coro ahaṃ pure āsiṃ, <b>aṅgulimālo</b>'ti vissuto.<br/>vuyhamāno mah'oghena, buddhaṃ saraṇam'āgamaṃ.					aṅgulimāl	a masc	5			
aṅgulī 1	ps		fem		aṅga					finger	палец		√añc 1 a (to bend)		√añc > aṅg + ulī	aṅgulī	√añc √ac				DN 27.3	aggaññasuttaṃ	tesaṃ rasapathaviṃ <b>aṅguliyā</b> sāyataṃ acchādesi, taṇhā ca tesaṃ okkami.				Trad		ukkhitta-khaggam-atihattha-sudāruṇan’taṃ, dhāvan’ti-yojana-path’<b>aṅguli</b>-mālavantaṃ. iddhī’bhisaṅkhata-mano jitavā mun’indo.	Jaya-maṅgala-aṭṭha-gāthā		Protective Recitations							60n	aṅgul	ī fem	5			
acakkhuka	p		adj		cakkhu	neg				sightless; visionless; lit. eyeless	незрячий; слепой; досл. безглазый		√cakkh 1 a (to see)		na > a + √cakkh + u + ka<br/>cakkhuka + ka	acakṣuṣmat	√cakṣ				MN 75	māgaṇḍiyasuttaṃ	evam'eva kho, māgaṇḍiya, aññatitthiyā paribbājakā andhā <b>acakkhukā</b> ajānantā ārogyaṃ, apassantā nibbānaṃ, atha ca pan'imaṃ gāthaṃ bhāsanti																	acakkhuk	a adj	5			
acakkhussa	p		adj		cakkhu	neg				bad looking; not good for the eyes; lit. not for the eye	плохо выглядящий; не радующий глаз; досл. не для глаза		√cakkh 1 a (to see)		na > a + √cakkh + u + [s] + ya<br/>acakkhu + ya	na + cakṣuṣya	√cakṣ		(ANa) acakkhussan'ti na cakkhūnaṃ hitaṃ, cakkhuṃ visuddhaṃ na karoti.		AN 5.208	dantakaṭṭhasuttaṃ	pañc'ime, bhikkhave, ādīnavā dantakaṭṭhassa akhādane. katame pañca? <b>acakkhussaṃ</b>, mukhaṃ duggandhaṃ hoti, rasaharaṇiyo na visujjhanti, pittaṃ semhaṃ bhattaṃ pariyonandhati, bhattam'assa nacchādeti.																	acakkhuss	a adj	5			
acapala	p		adj		na pacalati	neg				steady; steadfast; not shaking	устойчивый; прочный; не дрожащий		√cal 1 a (to shake, tremble)		na + pa + √cal > capal + a	acapala	√cal			metathesis pacal > capal	TH 261	mahākassapattheragāthā	anuddhato <b>acapalo</b>, nipako saṃvut’indriyo, <br/>sobhati paṃsukūlena, sīho’va girigabbhare.																	acapal	a adj	5			
acaritvā	p		abs		carati	neg		trans	+acc	having not lived; having not led one's life; lit. having not walked	не прожив; не проведя свою жизнь; досл. не пройдя		√car 1 a (to move, walk)		na > a + √car + itvā	acaritvā	√car				DHP 155	jarāvaggo	<b>acaritvā</b> brahmacariyaṃ, aladdhā yobbane dhanaṃ,<br/>jiṇṇakoñcā'va jhāyanti, khīṇamacche'va pallale.																	-		5			
acarimaṃ	p		ind	adv, acc sg	carima	neg				not later	не позже				na > a + carima + aṃ<br/>acarima + aṃ	acarama					DN 9.3	poṭṭhapādasuttaṃ	saññā nu kho, bhante, paṭhamaṃ uppajjati, pacchā ñāṇaṃ, udāhu ñāṇaṃ paṭhamaṃ uppajjati, pacchā saññā, udāhu saññā ca ñāṇañ'ca apubbaṃ <b>acarimaṃ</b> uppajjantī'ti?																	-		5			
acari 2	n		aor		carati			intrans		lived; wandered around	жил; бродил		√car 1 a (to move, walk)		a + √car + i	acārīt	√car				SNP 44	jarāsuttaṃ<br/>aṭṭhakavaggo 6	sokapparidevamaccharaṃ, na jahanti giddhā mamāyite,<br/>tasmā munayo pariggahaṃ, hitvā <b>acariṃsu</b> khemadassino.																	acar	i aor	5			
acala	p		adj		na calati	neg				unshakeable; immobile; stationary; stable	непоколебимый; неподвижный; стационарный; стабильный		√cal 1 a (to shake, tremble)		na + √cal + a	acala	√cal				AN 7.67	nagaropamasuttaṃ	seyyathā’pi rañño paccantime nagare esikā hoti gambhīranemā sunikhātā <b>acalā</b> asampavedhī abbhantarānaṃ guttiyā bāhirānaṃ paṭighātāya. evam’evaṃ kho ariyasāvako saddho hoti, saddahati tathāgatassa bodhiṃ																	acal	a adj	5			
acāri	p		aor		cāreti			intrans		walked around; wandered around; roamed	ходил; бродил; гулял		√car 1 a (to move, walk)		a + √car + i	acārīt	√car				DHP 326	nāgavaggo	idaṃ pure cittam’<b>acāri</b> cārikaṃ, yen’icchakaṃ yatthakāmaṃ yathāsukhaṃ, tad’ajj’ahaṃ niggahessāmi yoniso, hatthi-ppabhinnaṃ viya aṅkusaggaho.																	acār	i aor isuṃ	5			
acintayi	s		aor		cinteti			trans	+acc	thought (about); pondered (over)	думал (о); обдумывал		√cint 8 *aya (to think)	√cint + aya > cintaya	a + cintaya + i	cint	√cint										SNP 16	maṅgalasuttaṃ<br/>cūḷavaggo 4	bahū devā manussā ca, maṅgalāni <b>acintayuṃ</b>.<br/>ākaṅkhamānā sotthānaṃ, brūhi maṅgalam’uttamaṃ	Maṅgala-sutta	The Highest Blessings	Protective Recitations							51n	acintay	i aor	5			
acira	p		adj		cira	neg				(of time) not long; soon; recent	(о времени) недолгий; скорый; недавний				na > a + cira	acira					UD 10	bāhiyasuttaṃ	atha kho <b>acira-</b>pakkantassa bhagavato bāhiyaṃ dārucīriyaṃ gāvī taruṇavacchā adhipatitvā jīvitā voropesi.																	acir	a adj	5			
acirapakkanta	pp		adj	comp						recently departed; soon left	недавно ушедший; вскоре удалившийся				acira + pakkanta	acira + prakrānta					UD 10	bāhiyasuttaṃ	atha kho <b>acirapakkantassa</b> bhagavato bāhiyaṃ dārucīriyaṃ gāvī taruṇavacchā adhipatitvā jīvitā voropesi.				SN 35.87	channasuttaṃ	atha kho āyasmā channo <b>acirapakkantesu</b> tesu āyasmantesu satthaṃ āharesi.											acirapakkant	a adj	5			
acirapabbajita	p		adj	comp						recently ordained	недавно посвященный в монахи				acira + pabbajita	acira + pravrājita					SN 1.20	samiddhisuttaṃ	ahaṃ kho, āvuso, navo <b>acirapabbajito</b> adhun'āgato imaṃ dhammavinayaṃ. na t'āhaṃ sakkomi vitthārena ācikkhituṃ.																	acirapabbajit	a adj	5			
aciraṃ	s		ind	adv, acc sg	na cira	neg				soon; before long; lit. not long	скоро; вскоре; досл. не долго				na + cira + aṃ	aciram											DHP 041	cittavaggo	<b>aciraṃ</b> vat’ayaṃ kāyo, paṭhaviṃ adhisessati.<br/>chuddho apeta-viññāṇo, niratthaṃ’va kaliṅgaraṃ. 	Anicc’ānussati	Recollection of Impermanence	Reflections							36n	-		5	6	4	
acirūpasampanna	p		adj	comp						not long after one ordained; shortly after ordination	вскоре после посвящения в монахи				acira + upasampanna	acira + upasaṃpanna					MN 75	māgaṇḍiyasuttaṃ	<b>acir'ūpasampanno</b> kho pan'āyasmā māgaṇḍiyo eko vūpakaṭṭho appamatto ātāpī pahit'atto viharanto nacirass'eva, yass'atthāya kulaputtā samma'd'eva agārasmā anagāriyaṃ pabbajanti																	acirūpasampann	a adj	5			
acetana	pp		adj		na ceteti	neg				unconscious; inanimate; senseless; mindless	не наделенный сознанием; неодушевленный; без сознания		√cit 8 *e (to think, intend)		na + √cit > cet + *ana	acetana	√cit				SN 22.95	pheṇapiṇḍūpamasuttaṃ	āyu usmā ca viññāṇaṃ, yadā kāyaṃ jahant’imaṃ, <br/>apaviddho tadā seti, parabhattaṃ <b>acetanaṃ</b>.				JAa 74	rukkhadhamma jātakavaṇṇanā	tiṭṭhantu tāva manussabhūtā, <b>acetanānaṃ</b> rukkhānam’pi sāmaggiṃ laddhuṃ vaṭṭati.											acetan	a adj	5			
acetayanta	p		prp		cetayati	neg		intrans		not thinking; not having mental activity	не думающий; не имеющий умственной активности		√cit 8 *aya (to think, intend)	√cit + *aya > cetaya	na > a + cetaya + nta<br/>na + cetayanta	na + cetayat	√cit √cint				DN 9.3	poṭṭhapādasuttaṃ	tassa <b>acetayato</b> anabhisaṅkharoto tā c'eva saññā nirujjhanti, aññā ca oḷārikā saññā na uppajjanti. so nirodhaṃ phusati. evaṃ kho, poṭṭhapāda, anupubb'ābhisaññānirodha-sampajāna-samāpatti hoti.																	acetay	anta prp	5			
acetayamāna	p		prp		ceteti	neg		intrans		not thinking; not having mental activity	не думающий; не имеющий умственной активности		√cit 8 *aya (to think, intend)	√cit + *aya > cetaya	na > a + cetaya + māna<br/>na + cetayamāna	na + cetayamāna	√cit √cint				DN 9.3	poṭṭhapādasuttaṃ	so tato amutra tato amutra anupubbena saññ'aggaṃ phusati. tassa saññ'agge ṭhitassa evaṃ hoti, cetayamānassa me pāpiyo, <b>acetayamānassa</b> me seyyo.																	acetaya	māna prp	5			
acelaka	p		masc		na cela	neg				naked ascetic; lit. unclothed	обнаженный аскет; досл. не покрытый		√cil 1 a (to clothe)		na + √cil > cel + *aka	na + cela + ka	√cil		(VIN 2.1.41) acelako nāma yo koci paribbājakasamāpanno naggo.		VIN PAT PC 41	acelaka sikkhāpada	yo pana bhikkhu <b>acelakassa</b> vā paribbājakassa vā paribbājikāya vā sahatthā khādanīyaṃ vā bhojanīyaṃ vā dadeyya, pācittiyaṃ.																	acelak	a masc	5			
acca	ps		prefix							(prefix)	(приставка)				ati + a	ati + a							sodha sibbinim’<b>acca-</b>gā’ti<br/>icc’evam <b>acca</b>nta-namassanīyaṃ						yo-<b>acca</b>nta-suddhabbara-ñāṇa-locano<br/>so vo mam’<b>acca</b>yena satthā			Prefixes							99n	-		5			
accagamā	p		imperf		atigacchati			trans	+acc	had overcome; had surpassed; had got past	преодолел; превзошел; прошел		√gam 1 a (to go)		ati + a + √gam + ā	ati + agacchat	√gam				MN 140	dhātuvibhaṅgasuttaṃ	accayo maṃ, bhante, <b>accagamā</b> yathābālaṃ yathāmūḷhaṃ yathāakusalaṃ, yo'haṃ bhagavantaṃ āvusovādena samudācaritabbaṃ amaññissaṃ.																	!accagam	ā imperf	5			
accagā	pp		imperf		atigacchati			trans	+acc	had overcome; had surpassed; had got past	преодолел; превзошел; прошел через		√gam 1 a (to go)		ati + a + √gam + ā	ati + agacchat	√gam				AN 6.61	majjhesuttaṃ	“yo ubho’nte viditvāna, majjhe mantā na lippati. taṃ brūmi mahāpuriso’ti, so’dha sibbinim’<b>accagā</b>”ti.				DHP 414	brāhmaṇavaggo	yo'maṃ palipathaṃ duggaṃ, saṃsāraṃ moham'<b>accagā</b>,<br/>tiṇṇo pāragato jhāyī, anejo akathaṃkathī,<br/>anupādāya nibbuto, tam'ahaṃ brūmi brāhmaṇaṃ.											!accag	ā imperf	5			
accatari	p		aor		atitarati			trans	+acc	crossed beyond; transcended; overcome; escaped	перешагнул за пределы; превзошел; преодолел; спасся		√tar 1 a (to cross)		ati > aty > acc + a + √tar + i	atitṝ	√tṝ				SN 35.228	paṭhama samuddasuttaṃ	yo imaṃ samuddaṃ sagāhaṃ sarakkhasaṃ,<br/>saūmiṃ sāvaṭṭaṃ sabhayaṃ duttaraṃ <b>accatari</b>.																	accatar	i aor	5			
accantadussīlya	p		nt	comp						extreme bad behaviour; extreme immorality	крайне плохое поведение; крайняя безнравственность				accanta + dussīlya	atyanta + duḥśīla					DHP 162	attavaggo	yassa <b>accantadussīlyaṃ</b>, māluvā sālam'iv'otthataṃ,<br/>karoti so tath'attānaṃ, yathā naṃ icchatī diso.																	accantadussīly	a nt	5			
accantaniṭṭha	p		adj	comp						completely finished; absolutely done	полностью завершивший; абсолютно выполнивший				accanta + niṭṭhā + a<br/>accantaniṭṭhā + a	atyanta +			(ANa) accantaniṭṭho'ti khayavayasaṅkhātaṃ antaṃ atītā'ti accantā, accantā niṭṭhā assā'ti accantaniṭṭho, ek'antaniṭṭho satataniṭṭho'ti attho.		AN 7.61	pacalāyamānasuttaṃ	kittāvatā nu kho, bhante, bhikkhu saṃkhittena taṇhāsaṅkhayavimutto hoti <b>accantaniṭṭho</b> accantayogakkhemī accantabrahmacārī accantapariyosāno seṭṭho devamanussānan'ti?																	accantaniṭṭh	a adj	5			
accantapariyosāna	p		adj	comp						completely concluded; absolutely finished	полностью завершивший; абсолютно закончивший				accanta + pariyosāna	atyanta +			(ANa) accantaṃ pariyosānam'assā'ti purimanayen'eva accantapariyosāno.		AN 7.61	pacalāyamānasuttaṃ	kittāvatā nu kho, bhante, bhikkhu saṃkhittena taṇhāsaṅkhayavimutto hoti accantaniṭṭho accantayogakkhemī accantabrahmacārī <b>accantapariyosāno</b> seṭṭho devamanussānan'ti?																	accantapariyosān	a adj	5			
accantabrahmacārī	p		adj	comp						completed the holy life; finished the spiritual journey; (or) completely celibate; absolutely chaste	завершил святую жизнь; закончил духовное путешествие; (или) полностью целомудренный; абсолютно непорочный				accanta + brahmacārī	atyanta +			(ANa) accantabrahmacārī'ti accantaṃ brahmacārī, niccabrahmacārī'ti attho.		AN 7.61	pacalāyamānasuttaṃ	kittāvatā nu kho, bhante, bhikkhu saṃkhittena taṇhāsaṅkhayavimutto hoti accantaniṭṭho accantayogakkhemī <b>accantabrahmacārī</b> accantapariyosāno seṭṭho devamanussānan'ti?																	accantabrahmacār	ī adj	5			
