Pāli1	Fin	ex	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	class	count	audio
ajjhāpagata	s		pp		ajjhupagacchati					arrived (at); reached; come to; become; entered			√gam 1 a (to go)		adhi + upa + √gam + ta	abhyupagata	√gam										AN 10.48	pabbajitābhiṇhasuttaṃ	‘vevaṇṇiy’amhi <b>ajjhūpagato</b>’ti, pabbajitena abhiṇhaṃ paccavekkhitabbaṃ.	Dasadhammā pabbajita-abhiṇha-paccavekkhaṇā	Ten Subjects for Frequent Recollection by One Who Has Gone Forth	Reflections							34n	ajjhūpagat	a pp	5			
ajjhāvasanta	s		prp		ajjhāvasati			trans	+acc	living (in); inhabiting; staying (in); settling (in)			√vas 1 a (to live)	√vas + a > vasa	adhi + ā + vasa + nta	adhyāvas	√vas										MN 27	cūḷahatthipadopamasuttaṃ	na’y’idaṃ sukaraṃ agāraṃ <b>ajjhāvasatā</b> ek’anta-paripuṇṇaṃ ek’anta-parisuddhaṃ saṅkhalikhitaṃ brahmacariyaṃ carituṃ.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	ajjhāvas	anta prp	5			
ajjhupekkhitar	ss		masc	agent	ajjhupekkhati				+acc	equanimous observer (of); who looks on indifferently (at)			√ikkh 1 a (to see, mark)		adhi + upa + √ikkh + itar	adhyupekṣitar	√īkṣ										SN 46.3	sīlasuttaṃ	so tathāsamāhitaṃ cittaṃ sādhukaṃ <b>ajjhupekkhitā</b> hoti	Satta-sambojjhaṅgā	The Seven Factors of Awakening	Teachings	MN 118	ānāpānassatisuttaṃ	so yaṃ taṃ abhijjhādomanassānaṃ pahānaṃ taṃ paññāya disvā sādhukaṃ <b>ajjhupekkhitā</b> hoti.	Ānāpānassati	Mindfulness of Breathing	Teachings	20n	ajjhupekkhit	ar masc	5	6	18	
añjanamakkhita	s		adj	comp						smeared with collyrium		eyeliner			añjana + makkhita												TH 251	raṭṭhapālattheragāthā	aṭṭhapadakatā kesā, nettā <b>añjanamakkhitā</b>. <br/>alaṃ bālassa mohāya, no ca pāragavesino.	Raṭṭhapāla-thera-gāthā	From the Elder Raṭṭhapāla	Verses							12n	añjanamakkhit	a adj	5			
añjana 1	ps		nt		añjati					collyrium; black pigment; pitch-black colour; lit. smearing			√añj 1 a (to smear, anoint)		√añj + ana		√añj				MN 91	brahmāyusuttaṃ	uddh'aggalomo kho pana so bhavaṃ gotamo, uddh'aggāni lomāni jātāni nīlāni <b>añjana</b>-vaṇṇāni kuṇḍal'āvaṭṭāni dakkhiṇ'āvaṭṭakajātāni				TH 251	raṭṭhapālattheragāthā	aṭṭha-pada-katā kesā, nettā <b>añjana</b>-makkhitā. <br/>alaṃ bālassa mohāya, no ca pāragavesino.	Raṭṭhapāla-thera-gāthā	From the Elder Raṭṭhapāla	Verses							12n	añjan	a nt	5			
añjanī	s		fem		añjana					box for ointment; unguent pot			√añj 1 a (to smear, anoint)		√añj + ana + ī		√añj										TH 251	raṭṭhapālattheragāthā	<b>añjanī</b>’va navā cittā, pūtikāyo alaṅkato. <br/>alaṃ bālassa mohāya, no ca pāragavesino.	Raṭṭhapāla-thera-gāthā	From the Elder Raṭṭhapāla	Verses							12n	añjan	ī fem	5			
añjali	ps		fem							palms placed together (as a token of respect)			√añj 1 a (to pay respect)		√añj + ali	añjali, fr. añjati	√añc √añj				MN 91	brahmāyusuttaṃ	evaṃ vutte, brahmāyu brāhmaṇo uṭṭh'āyāsanā ek'aṃsaṃ uttarāsaṅgaṃ karitvā, yena bhagavā ten'<b>añjaliṃ</b> paṇāmetvā tikkhattuṃ udānaṃ udāneti				SN 11.3	dhajaggasuttaṃ	yad'idaṃ cattāri purisayugāni aṭṭha purisapuggalā esa bhagavato sāvakasaṅgho, āhuneyyo pāhuneyyo dakkhiṇeyyo <b>añjali</b>-karaṇīyo anuttaraṃ puññakkhettaṃ lokassa	Saṅgh'ābhitthuti	Homage to the Saṅgha	Homage to the Triple Gem							04n	añjal	i fem	5			
añjalikaraṇīya	s		adj	comp						worthy of being honoured; lit. should make anjali to					añjali + karaṇīya	añjali + karaṇīya											SN 11.3	dhajaggasuttaṃ	yad'idaṃ cattāri purisayugāni aṭṭha purisapuggalā esa bhagavato sāvakasaṅgho, āhuneyyo pāhuneyyo dakkhiṇeyyo <b>añjalikaraṇīyo</b> anuttaraṃ puññakkhettaṃ lokassa	Saṅgh'ābhitthuti	Homage to the Saṅgha	Homage to the Triple Gem							04n	añjalikaraṇīy	a adj	5			
aññataraññatara	s		adj	comp						one or other; all kinds					aññatara + aññatara	anyatara + anyatara											VIBH 4.1.1	dukkhasaccaṃ	<b>aññatar’aññatarena</b> byasanena samannāgatassa, <b>aññatar’aññatarena</b> dukkha-dhammena phuṭṭhassa; soko, socanā, socitattaṃ, antosoko antoparisoko	Paṭicca-samuppāda	Dependent Origination	Teachings							23n	aññataraññatar	a adj	5			
aññatara 1	ps		adj	comp	añña					a certain; a					añña + tara	anyatara					AN 4.184	abhayasuttaṃ	tassa <b>aññatarena</b> gāḷhena rog’ātaṅkena phuṭṭhassa evaṃ hoti — ‘piyā vata maṃ kāmā jahissanti, piye c’āhaṃ kāme jahissāmī’ti.				SNP 16	maṅgalasuttaṃ<br/>cūḷavaggo 4	atha kho <b>aññatarā</b> devatā abhikkantāya rattiyā abhikkanta-vaṇṇā kevalakappaṃ jetavanaṃ obhāsetvā yena bhagavā ten’upasaṅkami	Maṅgala-sutta	The Highest Blessings	Protective Recitations							51n	aññatar	a adj	5	10	1495	
aññatara 2	pps		adj	comp	añña					one (of); either one (of)					añña + tara	anyatara					SN 35.241	paṭhamadārukkhandhopamasuttaṃ	idha ekacco <b>aññataraṃ</b> devanikāyaṃ paṇidhāya brahmacariyaṃ carati — ‘imin’āhaṃ sīlena vā vatena vā tapena vā brahmacariyena vā devo vā bhavissāmi dev’aññataro vā’ti. ayaṃ vuccati amanussaggāho.				SN 22.79	khajjanīyasuttaṃ	ye hi keci samaṇā vā brāhmaṇā vā anekavihitaṃ pubbenivāsaṃ anussaramānā anussaranti sabb’ete pañc’upādānakkhandhe anussaranti etesaṃ vā <b>aññataraṃ</b>.				PAT PK	dhammayuttika-pubbakicca	niṭṭhite ca pubbakicce: sace so divaso cātuddasī-paṇṇarasī-sāmaggīnam'<b>aññataro</b>, yath'ājja uposatho paṇṇaraso.	Pubbakicca	Preliminary duty	International Pātimokkha	80n	aññatar	a adj	5	10	1495	
aññathā	ps		ind	adv	añña					differently; otherwise; lit. in another way					añña + thā	anyathā					SNP 38	dvayatānupassanāsuttaṃ<br/>mahāvaggo 12	yena yena hi maññanti, tato taṃ hoti <b>aññathā</b>, <br/>etādiso vinābhāvo, passa lokassa pariyāyaṃ.				TH 257	pārāpariyattheragāthā	<b>aññathā</b> lokanāthamhi, tiṭṭhante puris'uttame.<br/>iriyaṃ āsi bhikkhūnaṃ, aññathā dāni dissati. 	Pārāpariya-thera-gāthā	From the Elder Pārāpariya	Verses							13n	-		5	13	175	
aññamañña	ps		adj	comp	añña					mutual; one another; one to another					aññaṃ + añña	anya + anya					TH 257	pārāpariyattheragāthā	“pariccajitvā saddhammaṃ, <b>aññam’aññehi</b> bhaṇḍare.<br/>diṭṭhigatāni anventā, idaṃ seyyo’ti maññare. 				DSa	Nidānakathā	hetu-paccayo, ārammaṇa-paccayo, adhipati-paccayo, anantara-paccayo, samanantara-paccayo, sahajāta-paccayo, <b>aññam’añña</b>-paccayo,	Paṭṭhāna-mātikā-pāṭho		Funeral Chants							65n	aññamaññ	a adj	5			
aññamaññassa	ps		ind	adv, comp	añña					one to another					aññaṃ + aññassa	anya anya					SN 48.42	uṇṇābhabrāhmaṇasuttaṃ	pañc'imāni, bho gotama, indriyāni nānāvisayāni nānāgocarāni, na <b>aññam'aññassa</b> gocaravisayaṃ paccanubhonti.				SNP 8	mettasuttaṃ<br/>uragavaggo 8	na paro paraṃ nikubbetha,  n’ātimaññetha katthaci naṃ kañci  <br/>byārosanā, paṭigha-saññā, <b>n’āññam’aññassa</b>  dukkham’iccheyya.	Karaṇīya-metta-sutta	The Buddha’s Words on Loving-Kindness	Protective Recitations							53n	-		5			
añña 1	ps		pron							another; other; different						anya					AN 3.36	devadūtasuttaṃ	ambho purisa, na tvaṃ addasa manussesu itthiṃ vā purisaṃ vā ābādhikaṃ dukkhitaṃ bāḷhagilānaṃ, sake muttakarīse palipannaṃ semānaṃ, <b>aññehi</b> vuṭṭhāpiyamānaṃ, <b>aññehi</b> saṃvesiyamānan’ti?				SN 22.22	bhārasuttaṃ	“nikkhipitvā garuṃ bhāraṃ, <b>aññaṃ</b> bhāraṃ anādiya. samūlaṃ taṇham’abbuyha, nicchāto parinibbuto”ti. 	Bhārā	The Burdens	Verses							11n	aññ	a pron	5	10	2465	
aññāṇa	s		nt		na jānāti	neg			+loc	ignorance (of); lack of understanding (of); not knowing (about)			√ñā 5 nā (to know)		na + √ñā + na		√jñā										SN 12.2	vibhaṅgasuttaṃ	dukkhe <b>aññāṇaṃ</b>, dukkhasamudaye <b>aññāṇaṃ</b>, dukkhanirodhe <b>aññāṇaṃ</b>, dukkhanirodhagāminiyā paṭipadāya <b>aññāṇaṃ</b>.	Paṭicca-samuppāda	Dependent Origination	Teachings							23n	aññāṇ	a nt	5			
aññātāvindriya	ps		nt	abstr, comp						the faculty of (having) complete insight					aññātāvī + indriya						ITI 62	indriyasuttaṃ	tīṇ'imāni, bhikkhave, indriyāni. katamāni tīṇi? anaññātaññassāmī't'indriyaṃ, aññ'indriyaṃ, <b>aññātāv'indriyaṃ</b>				VIBH 5.1	abhidhammabhājanīyaṃ	saddh’indriyaṃ, viriy’indriyaṃ, sat’indriyaṃ, samādh’indriyaṃ, paññ’indriyaṃ, anaññātaññassāmī't'indriyaṃ, aññ’indriyaṃ, <b>aññātāv’indriyaṃ</b>.	Vipassanā-bhūmi-pāṭho		Funeral Chants							64n	aññātāvindriy	a nt	5			
aññātāvī	ps		adj	app	ājānāti					who is enlightened; who has final knowledge; who possesses perfect knowledge; lit. who has understood			√ñā 5 nā (to know)		ā + √ñā + tāvī		√jñā				ITI 62	indriyasuttaṃ	tīṇ'imāni, bhikkhave, indriyāni. katamāni tīṇi? anaññātaññassāmī't'indriyaṃ, aññ'indriyaṃ, <b>aññātāv'</b>indriyaṃ				VIBH 5.1	abhidhammabhājanīyaṃ	saddh’indriyaṃ, viriy’indriyaṃ, sat’indriyaṃ, samādh’indriyaṃ, paññ’indriyaṃ, anaññātaññassāmī't'indriyaṃ, aññ’indriyaṃ,<b> aññātāv</b>’indriyaṃ.	Vipassanā-bhūmi-pāṭho		Funeral Chants							64n	aññātāv	ī adj	5			
aññā 1	ps		fem	abstr	ājānāti					spiritual insight; enlightenment; lit. understanding			√ñā 5 nā (to know)		ā + √ñā + ā	ājñā	√jñā				AN 9.36	jhānasuttaṃ	iti kho, bhikkhave, yāvatā saññā-samāpatti tāvatā <b>aññā</b>-paṭivedho				VIBH 5.1	abhidhammabhājanīyaṃ	saddh’indriyaṃ, viriy’indriyaṃ, sat’indriyaṃ, samādh’indriyaṃ, paññ’indriyaṃ, anaññātaññassāmī't'indriyaṃ, <b>aññ</b>’indriyaṃ, aññātāv’indriyaṃ.	Vipassanā-bhūmi-pāṭho		Funeral Chants							64n	aññ	ā fem	5	7	1748	
aññindriya	ps		nt	abstr, comp						the faculty of knowing; the power of insight					aññā + indriya						ITI 62	indriyasuttaṃ	tīṇ'imāni, bhikkhave, indriyāni. katamāni tīṇi? anaññātaññassāmī't'indriyaṃ, <b>aññ'indriyaṃ</b>, aññātāv'indriyaṃ				VIBH 5.1	abhidhammabhājanīyaṃ	saddh’indriyaṃ, viriy’indriyaṃ, sat’indriyaṃ, samādh’indriyaṃ, paññ’indriyaṃ, anaññātaññassāmī't'indriyaṃ, <b>aññ’indriyaṃ</b>, aññātāv’indriyaṃ.	Vipassanā-bhūmi-pāṭho		Funeral Chants							64n	aññindriy	a nt	5			
aññe	ps		pron	masc nom & acc pl	añña					others; other people; the rest						anyān					VIN PAT PC 73	mohana sikkhāpada	tañ’ce bhikkhuṃ <b>aññe</b> bhikkhū jāneyyuṃ: nisinnapubbaṃ iminā bhikkhunā dvattikkhattuṃ pātimokkhe uddissamāne, ko pana vādo bhiyyo'ti				TH 251	raṭṭhapālattheragāthā	“rājā ca <b>aññe</b> ca bahū manussā, avītataṇhā maraṇaṃ upenti. <br/>ūnā’va hutvāna jahanti dehaṃ, kāmehi lokamhi na h’atthi titti.	Raṭṭhapāla-thera-gāthā	From the Elder Raṭṭhapāla	Verses							12n	aññ	a pron	5			
aṭṭhaṅgika	s		adj	comp						with 8 parts; 8 limbed; eight-fold; having eight constituents					aṭṭha + aṅgika	aṣṭāṅga											DN 22.18	mahāsatipaṭṭhānasuttaṃ	ayam’eva ariyo <b>aṭṭh’aṅgiko</b> maggo seyyath’īdaṃ sammā-diṭṭhi sammāsaṅkappo sammāvācā sammākammanto sammāājīvo sammāvāyāmo sammāsati sammāsamādhi.	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings							21n	aṭṭhaṅgik	a adj	5			
aṭṭhapadakata	s		adj	comp						arranged in eight way, plaited eightfold		in eight braids			aṭṭhapada + kata												TH 251	raṭṭhapālattheragāthā	<b>aṭṭhapadakatā</b> kesā, nettā añjana-makkhitā. <br/>alaṃ bālassa mohāya, no ca pāragavesino.	Raṭṭhapāla-thera-gāthā	From the Elder Raṭṭhapāla	Verses							12n	aṭṭhapadakat	a adj	5			
aṭṭhapada 2	s		adj	comp						in eight way, eightfold					aṭṭha + pada												TH 251	raṭṭhapālattheragāthā	<b>aṭṭhapada</b>-katā kesā, nettā añjana-makkhitā. <br/>alaṃ bālassa mohāya, no ca pāragavesino.	Raṭṭhapāla-thera-gāthā	From the Elder Raṭṭhapāla	Verses							12n	aṭṭhapad	a adj	5			
aṭṭhama	ps		ordin		aṭṭha					eighth (8th)					aṭṭha + ma	aṣṭama					VIN PAT PC	suddhapācittiyā	sahadhammika-vaggo <b>aṭṭhamo</b>.				SNP 13	ratanasuttaṃ<br/>cūḷavaggo 1	ye ariya-saccāni vibhāvayanti,  gambhīra-paññena sudesitāni. <br/>kiñ’c’āpi te honti bhusaṃ pamattā,  na te bhavaṃ <b>aṭṭhamam’</b>ādiyanti.	Ratana-sutta		Protective Recitations							52n	aṭṭham	a ordin	5	12	464	
aṭṭha 1	ss		card	x pl						eight (8)						aṣṭan											SN 11.3	dhajaggasuttaṃ	yad'idaṃ cattāri purisayugāni <b>aṭṭha</b> purisapuggalā esa bhagavato sāvakasaṅgho, āhuneyyo pāhuneyyo dakkhiṇeyyo añjalikaraṇīyo anuttaraṃ puññakkhettaṃ lokassa	Saṅgh'ābhitthuti	Homage to the Saṅgha	Homage to the Triple Gem	DN 22.18	mahāsatipaṭṭhānasuttaṃ	ayam’eva ariyo <b>aṭṭh’</b>aṅgiko maggo seyyath’īdaṃ sammā-diṭṭhi sammāsaṅkappo sammāvācā sammākammanto sammāājīvo sammāvāyāmo sammāsati sammāsamādhi.	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	04n	aṭṭh	a1 card	5	12	662	
aṭṭhārasa	ps		card	x pl, comp						eighteen (18)					aṭṭha + dasa	aṣṭādaśan		aṭṭharasa			SN 36.22	aṭṭhasatasuttaṃ	<b>aṭṭhārasā</b>’pi mayā vedanā vuttā pariyāyena; chattiṃsā’pi mayā vedanā vuttā pariyāyena; aṭṭhasatam’pi mayā vedanā vuttā pariyāyena. 				MN 115	bahudhātukasuttaṃ	<b>aṭṭhārasa</b> dhātuyo: cakkhu-dhātu rūpa-dhātu cakkhu-viññāṇa-dhātu, sota-dhātu sadda-dhātu sota-viññāṇa-dhātu, 	Vipassanā-bhūmi-pāṭho		Funeral Chants							64n	aṭṭhāras	a1 card	5			
aṭṭhāsi 1	sp	4	aor		tiṭṭhati			intrans		stood; stayed; remained			√ṭhā 1 a (to stand)		a + √ṭhā + si	asthāt	√sthā										SNP 16	maṅgalasuttaṃ<br/>cūḷavaggo 4	upasaṅkamitvā bhagavantaṃ abhivādetvā ekam’antaṃ <b>aṭṭhāsi</b>. ekam’antaṃ ṭhitā kho sā devatā bhagavantaṃ gāthāya ajjhabhāsi	Maṅgala-sutta	The Highest Blessings	Protective Recitations	MN 39	mahāassapurasuttaṃ	tatra'pi evaṃ <b>aṭṭhāsiṃ</b> evaṃ nisīdiṃ evaṃ abhāsiṃ evaṃ tuṇhī ahosiṃ				51n	aṭṭh	āsi aor	5	4	261	[sound:aṭṭhāsi.mp3]
aṭṭhimiñjā	s		fem	comp						marrow of the bone					aṭṭhi + miñjā	vakra											DN 22.5	mahāsatipaṭṭhānasuttaṃ	‘atthi imasmiṃ kāye kesā lomā nakhā dantā taco maṃsaṃ nhāru aṭṭhi <b>aṭṭhimiñjaṃ</b> vakkaṃ hadayaṃ yakanaṃ kilomakaṃ	Dvattiṃs’ākāra-paccavekkhaṇa	The Thirty-Two Parts	Reflections							35n	aṭṭhimiñj	ā fem	5			
aṭṭhiya	s		adj	in comps	attha				+gen	wanting; needing; desiring; seeking			√atth 8 *e (to wish for)		√atth + a + iya<br/>aṭṭha + iya	arthika	√arth	atthiya									TH 257	pārāpariyattheragāthā	sīta-vāta-parittāṇaṃ, hirikopīna-chādanaṃ.<br/>matt’<b>aṭṭhiyaṃ</b> abhuñjiṃsu, santuṭṭhā itar’ītare.	Pārāpariya-thera-gāthā	From the Elder Pārāpariya	Verses							13n	aṭṭhiy	a adj	5			
aṭṭhi 1	sss	5	nt							a bone						asthi					SN 12.22	dutiyadasabalasuttaṃ	kāmaṃ taco ca nahāru ca <b>aṭṭhi</b> ca avasissatu, sarīre upasussatu maṃsa-lohitaṃ	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings	DN 22.5	mahāsatipaṭṭhānasuttaṃ	‘atthi imasmiṃ kāye kesā lomā nakhā dantā taco maṃsaṃ nhāru <b>aṭṭhi</b> aṭṭhimiñjaṃ vakkaṃ hadayaṃ yakanaṃ kilomakaṃ pihakaṃ papphāsaṃ	Dvattiṃs’ākāra-paccavekkhaṇa	The Thirty-Two Parts	Reflections	TH 251	raṭṭhapālattheragāthā	passa cittakataṃ rūpaṃ, maṇinā kuṇḍalena ca. <br/><b>aṭṭhiṃ</b> tacena onaddhaṃ, saha vatthehi sobhati.	Raṭṭhapāla-thera-gāthā	From the Elder Raṭṭhapāla	Verses	35n	aṭṭh	i nt	5	9	89	[sound:aṭṭhi.mp3]
aṇuka	s		adj		aṇu					subtle; tiny; minute; atomic					aṇu + ka	aṇuka											SNP 8	mettasuttaṃ<br/>uragavaggo 8	ye keci pāṇa-bhūt’atthi,  tasā vā thāvarā vā anavasesā,<br/>dīghā vā ye mahantā vā,  majjhimā rassak’<b>āṇuka</b>-thūlā.	Karaṇīya-metta-sutta	The Buddha’s Words on Loving-Kindness	Protective Recitations							53n	aṇuk	a adj	5			
aṇumatta	ps		adj	comp						tiniest; smallest; lit. atom sized					aṇu + matta						DHP 284	maggavaggo	yāva hi vanatho na chijjati, <b>aṇumatto</b>'pi narassa nārisu,<br/>paṭibaddhamano'va tāva so, vaccho khīrapako'va mātari.				MN 107	gaṇakamoggallānasuttaṃ	‘ehi tvaṃ, bhikkhu, sīlavā hohi, pātimokkha-saṃvara-saṃvuto viharāhi ācāra-gocara-sampanno <b>aṇumattesu</b> vajjesu bhaya-dassāvī, samādāya sikkhassu sikkhāpadesū’ti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	aṇumatt	a adj	5			
aṇu 1	ss		adj							a very small; subtle; trivial						aṇu											MN 104	sāmagāmasuttaṃ	passatha no tumhe taṃ vacanapathaṃ, <b>aṇuṃ</b> vā thūlaṃ vā, yaṃ tumhe n’ādhivāseyyāthā”ti?	Cha sāraṇīya-dhammā	Principles of Cordiality	Teachings	MN 107	gaṇakamoggallānasuttaṃ	‘ehi tvaṃ, bhikkhu, sīlavā hohi, pātimokkha-saṃvara-saṃvuto viharāhi ācāra-gocara-sampanno <b>aṇu</b>-mattesu vajjesu bhaya-dassāvī, samādāya sikkhassu sikkhāpadesū’ti	Anupubba-sikkhā	The Gradual Training	Teachings	26n	aṇ	u adj	5			
aṇṇava	ps		masc							sea; ocean; body of water			√ar 1 a (to move, attain)		√ar + ṇa + va	arṇava	√ṛ				MN 22	alagaddūpamasuttaṃ	seyyathā’pi, bhikkhave, puriso addhānamaggappaṭipanno. so passeyya mahantaṃ udaka-<b>aṇṇavaṃ</b>, orimaṃ tīraṃ sāsaṅkaṃ sappaṭibhayaṃ, pārimaṃ tīraṃ khemaṃ appaṭibhayaṃ.				Thai		buddho susuddho karuṇā-mah’<b>aṇṇavo</b>, yo’ccanta-suddhabbara-ñāṇa-locano, lokassa pāp’ūpakilesa-ghātako	Ratanattaya-paṇāma	Salutation to the Triple Gem	Homage to the Triple Gem							05n	aṇṇav	a masc	5			
atandita	ps		adj	pp	na tandita	neg				energetic; effortful; active; alert; lit. not lazy		relentless	√tand 1 a (to be slow, lazy)		na + √tand + ita	atandrita	√tand √tandr				DHP 305	pakiṇṇakavaggo	ek'āsanaṃ ekaseyyaṃ, eko caram'<b>atandito</b>,<br/>eko damayam'attānaṃ, van'ante ramito siyā.				MN 131	bhaddekarattasuttaṃ	evaṃ vihārim’ātāpiṃ, ahorattam’<b>atanditaṃ</b>. taṃ ve bhadd’eka-ratto’ti, santo ācikkhate muni.	Bhadd’eka-ratta	A single Excellent Night	Verses							16n	atandit	a adj	5			
atandī	s		adj		na tandī	neg				not lazy; without sloth			√tand 1 a (to be slow, lazy)		na + √tand + ī	na + tandrī	√tand										Trad		etā pi buddha-jaya-maṅgala-aṭṭha-gāthā, yo vācano dina-dine sarate’m’<b>atandī</b>, hitvān’aneka-vividhāni c’upaddavāni, mokkhaṃ sukhaṃ adhigameyya naro sapañño	Jaya-maṅgala-aṭṭha-gāthā		Protective Recitations							60n	atand	ī adj	5			
ati	ps		prefix							beyond; over; past; very						ati			atisīta - too cold <br/>atisitvā - having bypassed, having overlooked<br/>atīta - past, gone past	atimānī – one who is proud, conceited<br/>accaya - the death; lit. going beyond			<b>ati-</b>sītan’ti, <b>ati-</b>uṇhan’ti, <b>ati-</b>sāyan’ti, <b>ati-</b>pāto’ti, <b>ati-</b>chāto’smī’ti, <b>ati-</b>dhāto’smī’ti<br/>aṭṭīyati harāyati jigucchati attānaṃ’y’eva <b>ati-</b>sitvā<br/><b>atī’</b>tam’p’āhaṃ addhānaṃ evam’eva rūpena khajjiṃ						suvaco c’assa mudu, an<b>’ati’</b>mānī<br/>so vo mam’<b>acc-</b>ayena satthā			Prefixes							99n	-		5			
atikkanta 2	ps		pp		atikkamati					gone past; passed by			√kam 1 a (to go)		ati + √kam + ta	atikrānta	√kram				VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	utu’kkhānaṃ: hemant’ādīnaṃ tiṇṇaṃ utūnaṃ, ettakaṃ <b>atikkantaṃ</b>, ettakaṃ avasiṭṭhan'ti. evaṃ utu-ācikkhanaṃ kataṃ kiṃ?				PAT PK	dhammayuttika-pubbakicca	iminā pakkhena: eko uposatho sampatto, eko uposathā <b>atikkantā</b>,  cha uposathā avasiṭṭhā.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	atikkant	a pp	5			
atikkama	s		masc		atikkamati				+gen	surpassing; transcending; going beyond; overcoming; lit. going past (of)			√kam 1 a (to go)		ati + √kam + a	atikrama	√kram										DHP 191	buddhavaggo	dukkhaṃ dukkhasamuppādaṃ, dukkhassa ca <b>atikkamaṃ</b>, ariyañ’c’aṭṭh’aṅgikaṃ maggaṃ, dukkh’ūpasama-gāminaṃ.	Khem’ākhema-saraṇa-gamana	Going to True and False Refuges	Verses							08n	atikkam	a masc	5			
atipāta	s		masc		atipāteti		caus			slaying; killing; lit. causing to fall			√pat 1 *e (to fall)	√pat + *e > pāte (caus)	ati + pāte + a	atipāta	√pat										DN 22.18	mahāsatipaṭṭhānasuttaṃ	pāṇ’<b>ātipātā</b> veramaṇī, adinn’ādānā veramaṇī, kāmesu-micchācārā veramaṇī, ayaṃ vuccati bhikkhave sammā-kammanto. 	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings							21n	atipāt	a masc	5			
atimatta	s		pp		ati + majjati					maddened; highly deluded			√mad 3 ya (to be mad, intoxicated)		ati + √mad + ta	ati + matta	√mad										Trad		nāḷāgiriṃ gaja-varaṃ <b>atimatta</b>-bhūtaṃ, dāv’aggi-cakkam’asanī’va, sudāruṇan’taṃ, mett’ambu-seka-vidhinā jitavā mun’indo.	Jaya-maṅgala-aṭṭha-gāthā		Protective Recitations							60n	atimatt	a pp	5			
atimānī	ps		adj		atimaññati					proud; conceited; arrogant			√man 3 ya (to think)		ati + √man + *ī	atimānin	√man				MN 8	sallekhasuttaṃ	<b>atimānissa</b> purisapuggalassa anatimāno hoti parinibbānāya. dubbacassa purisapuggalassa sovacassatā hoti parinibbānāya.				SNP 8	mettasuttaṃ<br/>uragavaggo 8	karaṇīyam’attha-kusalena, yaṃ taṃ santaṃ padaṃ abhisamecca:  <br/>sakko ujū ca suhujū ca, suvaco c’assa mudu, an-<b>atimānī</b>.	Karaṇīya-metta-sutta	The Buddha’s Words on Loving-Kindness	Protective Recitations							53n	atimān	ī adj	5			
atireka 1	ss		adj							more (than); superior; higher			√ric 2 ṃa (to empty)		ati + √ric > rek + *a	atireka	√ric										Trad		mār’<b>ātirekam</b>’abhiyujjhita-sabba-rattiṃ, ghoram’pan’āḷavakam’akkhama-thaddha-yakkhaṃ, khantī-sudanta-vidhinā jitavā mun’indo.	Jaya-maṅgala-aṭṭha-gāthā		Protective Recitations	PAT PK	dhammayuttika-pubbakicca	yāvatikā ca bhikkhū kammappattā saṅgh'uposath'ārahā cattāro vā tato vā <b>atirekā</b> pakatattā pārājikaṃ anāpannā saṅghena vā anukkhittā.	Pubbakicca	Preliminary duty	International Pātimokkha	60n	atirek	a adj	5			
ativiya	s		ind							too much; very; extremely; exceedingly; lit. like too much					ati + iva > via > viya	atīva											Trad		sabbo panāyaṃ piṇḍapāto a’jigucchanīyo, imaṃ pūti-kāyaṃ patvā <b>ativiya</b> jigucchanīyo jāyati	Āhāra-paṭikūla-paccavekkhaṇa-pāṭho	The Repulsiveness of Food	Reflections							31n	-		5			
atīta 1	ps		adj	pp	ati + eti					past; gone past			√i 1 a (to come, go)		ati + √i + ta	atīta	√i				MN 137	saḷāyatanavibhaṅgasuttaṃ	pubbe vā paṭiladdha-pubbaṃ <b>atītaṃ</b> niruddhaṃ vipariṇataṃ samanussarato uppajjati somanassaṃ. yaṃ evarūpaṃ somanassaṃ idaṃ vuccati gehasitaṃ somanassaṃ.				SN 6.2	gāravasuttaṃ	ye ca <b>atītā</b> sambuddhā, ye ca buddhā anāgatā. <br/>yo c’eta’r’ahi sambuddho, bahunnaṃ soka-nāsano.	Dhamma-gārava	Respect for the Dhamma	Verses							07n	atīt	a adj	5			
